epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.527,1.80465,1.09225,1.01951,0.91454,0.76003,0.85773,0.47329,1.47161,0.68863,0.93562,0.070075,0.003325,0.003325
2,233.256,1.64,0.85932,0.95781,0.89951,0.78409,0.87531,0.49521,1.44819,0.69528,0.92663,0.0400091,0.00659242,0.00659242
3,362.39,1.60143,0.82429,0.9464,0.91035,0.78409,0.8726,0.49958,1.415,0.70489,0.92265,0.00987717,0.00979383,0.00979383
4,493.975,1.56741,0.79223,0.94062,0.89429,0.79261,0.87475,0.49258,1.41983,0.68122,0.91683,0.009703,0.009703,0.009703
5,615.265,1.54495,0.78719,0.93419,0.94286,0.82102,0.90072,0.53309,1.36259,0.65677,0.90813,0.009604,0.009604,0.009604
6,727.864,1.53611,0.76638,0.92966,0.91753,0.80114,0.89078,0.54563,1.32932,0.65132,0.90423,0.009505,0.009505,0.009505
7,844.051,1.47242,0.73387,0.91032,0.92817,0.80763,0.91817,0.55603,1.34664,0.66165,0.89913,0.009406,0.009406,0.009406
8,954.911,1.44239,0.72617,0.90578,0.95207,0.84646,0.91823,0.54997,1.31795,0.63993,0.89218,0.009307,0.009307,0.009307
9,1080.8,1.44023,0.72133,0.9117,0.93744,0.85134,0.92797,0.56687,1.32213,0.61861,0.89456,0.009208,0.009208,0.009208
10,1202.71,1.44422,0.69769,0.90625,0.91423,0.875,0.92981,0.55816,1.33569,0.65144,0.89815,0.009109,0.009109,0.009109
11,1324.86,1.45821,0.71062,0.90831,0.95504,0.84477,0.93039,0.55765,1.32753,0.61705,0.89393,0.00901,0.00901,0.00901
12,1440.08,1.40778,0.68468,0.90391,0.93072,0.83967,0.91986,0.55389,1.34613,0.64733,0.89738,0.008911,0.008911,0.008911
13,1549.11,1.40056,0.6713,0.89917,0.90456,0.88352,0.93764,0.57782,1.31363,0.59271,0.89372,0.008812,0.008812,0.008812
14,1657.8,1.39509,0.67485,0.8989,0.93054,0.83729,0.92982,0.58973,1.28136,0.61082,0.88664,0.008713,0.008713,0.008713
15,1765.13,1.38003,0.66773,0.88963,0.93633,0.87216,0.94025,0.57332,1.30539,0.60708,0.89244,0.008614,0.008614,0.008614
16,1873.8,1.3614,0.65489,0.89906,0.91001,0.87784,0.93749,0.5851,1.28951,0.61138,0.88859,0.008515,0.008515,0.008515
17,1985.02,1.3473,0.65111,0.88927,0.92463,0.87216,0.9382,0.57856,1.32385,0.59501,0.8917,0.008416,0.008416,0.008416
18,2091.62,1.35015,0.63871,0.89489,0.9153,0.86932,0.93177,0.57211,1.30675,0.62962,0.88801,0.008317,0.008317,0.008317
19,2201.41,1.31828,0.62923,0.88771,0.93325,0.87388,0.92715,0.57186,1.32354,0.60725,0.89621,0.008218,0.008218,0.008218
20,2310.28,1.31553,0.63649,0.88425,0.91374,0.90279,0.9424,0.58236,1.28133,0.60282,0.88408,0.008119,0.008119,0.008119
21,2418.16,1.30787,0.62325,0.88467,0.95147,0.89122,0.946,0.57309,1.3222,0.62834,0.8907,0.00802,0.00802,0.00802
22,2526.15,1.31268,0.62736,0.88529,0.93807,0.86058,0.93639,0.58152,1.29057,0.59667,0.8816,0.007921,0.007921,0.007921
23,2634.22,1.28717,0.61179,0.88159,0.95041,0.86648,0.93895,0.57958,1.31026,0.59728,0.88428,0.007822,0.007822,0.007822
24,2740.46,1.29572,0.6139,0.87861,0.95229,0.875,0.95276,0.59258,1.29664,0.57112,0.8882,0.007723,0.007723,0.007723
25,2850.62,1.29912,0.61926,0.89117,0.9224,0.87802,0.93919,0.59262,1.2661,0.59001,0.88014,0.007624,0.007624,0.007624
26,2959.06,1.29404,0.60534,0.8855,0.93503,0.88636,0.93887,0.58278,1.30027,0.60012,0.88806,0.007525,0.007525,0.007525
27,3076.26,1.29435,0.62044,0.8817,0.93334,0.87512,0.93904,0.58803,1.28242,0.59633,0.88188,0.007426,0.007426,0.007426
28,3187.39,1.25445,0.59511,0.87266,0.92832,0.88306,0.93461,0.58823,1.27609,0.58079,0.88053,0.007327,0.007327,0.007327
29,3303.41,1.28026,0.6009,0.88252,0.90778,0.90057,0.93433,0.57893,1.30688,0.59255,0.88775,0.007228,0.007228,0.007228
30,3429.67,1.27002,0.59646,0.87309,0.92228,0.90625,0.94795,0.58887,1.29347,0.56934,0.88544,0.007129,0.007129,0.007129
31,3551.26,1.26077,0.59878,0.87249,0.91635,0.90253,0.94697,0.5953,1.2952,0.59055,0.88015,0.00703,0.00703,0.00703
32,3671.72,1.25722,0.59619,0.87261,0.95014,0.89205,0.95475,0.59434,1.29515,0.57299,0.88593,0.006931,0.006931,0.006931
33,3778.67,1.23619,0.58702,0.87366,0.94733,0.90057,0.95082,0.59165,1.29404,0.57585,0.88399,0.006832,0.006832,0.006832
34,3886.2,1.24217,0.59169,0.86863,0.956,0.86418,0.94409,0.59401,1.28427,0.58134,0.88312,0.006733,0.006733,0.006733
35,3996.76,1.21754,0.57729,0.86947,0.95189,0.88068,0.9501,0.59627,1.28724,0.57793,0.87983,0.006634,0.006634,0.006634
36,4104.42,1.24399,0.59063,0.87084,0.94835,0.88677,0.95281,0.59144,1.28605,0.56815,0.88045,0.006535,0.006535,0.006535
37,4211.46,1.20889,0.57568,0.86383,0.9365,0.87981,0.94301,0.58981,1.30623,0.56591,0.88728,0.006436,0.006436,0.006436
38,4321.54,1.20599,0.57436,0.86134,0.94423,0.88068,0.95062,0.58745,1.32386,0.57749,0.8873,0.006337,0.006337,0.006337
39,4429.34,1.22275,0.57851,0.87036,0.94439,0.90625,0.95616,0.59447,1.28334,0.56166,0.88077,0.006238,0.006238,0.006238
40,4537.23,1.22441,0.57448,0.86486,0.95893,0.89489,0.95867,0.60559,1.28536,0.56255,0.8814,0.006139,0.006139,0.006139
41,4649.82,1.23236,0.5801,0.87159,0.93582,0.91134,0.95023,0.5967,1.29217,0.56072,0.88461,0.00604,0.00604,0.00604
42,4759.99,1.21783,0.58279,0.86188,0.94361,0.90332,0.95078,0.59992,1.28367,0.55803,0.88159,0.005941,0.005941,0.005941
43,4869.28,1.18646,0.55769,0.86303,0.95292,0.88352,0.94665,0.58805,1.32589,0.55854,0.89264,0.005842,0.005842,0.005842
44,4977.27,1.20281,0.56696,0.86628,0.93278,0.91477,0.95003,0.60728,1.28548,0.55325,0.88055,0.005743,0.005743,0.005743
45,5084.69,1.19341,0.56655,0.85553,0.94057,0.90341,0.951,0.59568,1.30435,0.56631,0.88584,0.005644,0.005644,0.005644
46,5195.67,1.17095,0.55137,0.85625,0.92679,0.89908,0.94492,0.58802,1.3024,0.56295,0.88327,0.005545,0.005545,0.005545
